
  Tool                                              Description
  set_square_inventory_physical_count               Set the physical inventory count for a catalog item variation.
  transfer_square_inventory                         Transfer inventory between two locations.
  js_product_database_query                         Search the Amazon product database via Jungle Scout.
  js_historical_search_volume                       Get historical Amazon search volume trend for a keyword via Jungle Scout.
  js_sales_estimates                                Get estimated sales data for an Amazon product (ASIN) via Jungle Scout.
  js_share_of_voice                                 Get share of voice data for an Amazon search keyword via Jungle Scout.
  js_keywords_by_asin                               Find keywords that one or more Amazon products (ASINs) rank for via Jungle Scout
  js_keywords_by_keyword                            Find related Amazon keywords for given search terms via Jungle Scout.
  oss_upload_file                                   Upload file content to an Alibaba Cloud OSS bucket and return the access URL.
  querySkillMetadata                                Query supported Accio Skills metadata (official and personal).
  querySkillMetadataById                            Query Accio Skills metadata by skill and registry identifiers.
  listSkillsMcpTools                                List tool definitions exposed by the remote Accio Skills MCP server (MCP tools/l
  composio_create_session                           Create a Composio session and return both the raw MCP endpoint metadata and
  composio_list_apps                                List the user's connected (authorized) apps on Composio platform.
  composio_connect_app                              Initiate an OAuth connection for a specific app via Composio platform.
  composio_disconnect_app                           Disconnect (revoke) a connected app on Composio platform.
  apify_search-actors                               Search the Apify Store to FIND and DISCOVER what scraping tools/Actors exist for
  apify_fetch-actor-details                         Get detailed information about an Actor by its ID or full name (format: "usernam
  apify_call-actor                                  Call any Actor from the Apify Store.
  apify_get-actor-run                               Get detailed information about a specific Actor run by runId.
  apify_get-actor-output                            Retrieve the output dataset items of a specific Actor run using its datasetId.
  apify_search-apify-docs                           Search Apify and Crawlee documentation using full-text search.
  apify_fetch-apify-docs                            Fetch the full content of an Apify or Crawlee documentation page by its URL.
  apify_apify--rag-web-browser                      This tool calls the Actor "apify/rag-web-browser" and retrieves its output resul
  ai_image_generate_facade                          AI图片生成统一门面，支持不同类型AI图片的生成
  ai_minisite_acciowork_create_page                 Ai旺铺acciowork创建页面主版本，如果超出最大版本数量，提示超出
  ai_minisite_acciowork_publish_page                Ai旺铺acciowork创建历史版本，并发布页面
  ai_minisite_get_acciowork_page_list               AI旺铺获取acciowork的页面版本，返回页面主版本和每个主版本下的历史子版本
  ai_minisite_get_company_info                      Ai旺铺-收集公司信息，根据商家的aliId、数据类型、语种，获取对应的信息，返回为json结构
  ai_minisite_get_template_info                     Ai旺铺根据模版版本获取模版列表，或者可以根据模版id获取具体模版信息
  apply_governance                                  编辑商品
  aw_create_complete_website                        AI旺铺 accio work 创建完整网页
  aw_create_website_preview                         AI旺铺 accio work 创建网页预览
  aw_edit_website                                   AI旺铺-AW-网站编辑
  aw_get_auth_token                                 获取鉴权token
  aw_get_task_status                                获取当前任务状态
  batch_edit_product                                批量修改商品
  chargebackMaterialWithAIForAliid                  根据aliId和订单ID拒付抗辩AI生成材料
  consume_ipoint                                    根据本次请求消耗的token，执行i豆权益的扣费
  create_ggs_batch_optimize_main_task               创建GGS批量优化主任务，创建完成后需要调用submit_ggs_batch_optimize_detail工具分批次提交批量优化的商品
  data_advisor_category_prediction                  根据类目描述预测类目id
  data_advisor_product_selection                    查询行业热门商品
  data_advisor_shop_product                         查询店铺商品的效果数据
  data_advisor_shop_region                          查询店铺流量的地域分布数据
  data_advisor_shop_summary                         查询店铺的经营数据
  fetch_product_info                                根据product_id获取商品详细信息
  fetch_supplier_info                               根据supplier_id获取商家详细信息
  findCustomerShopInfo                              查询客户店铺基础信息和高关联信息（包括店铺名称、主营行业、橱窗商品信息、近期店铺高询盘词、高p4p消耗词和高引流词）
  generate_style_list                               根据图片获取场景图风格列表
  getAllBehaviorsSemanticForKeywordRec              查询阿里巴巴国际站客户在站内的行为序列数据
  get_oss_pre_upload_url                            获取 OSS 直传预签名 URL。用于上传oss文件时候获取，依赖用户登录态
  ggs_cancel_migration_task                         根据搬品任务id(taskId)取消搬品任务
  ggs_high_demand_product_topic                     根据图片或关键词等信息查询定招主题
  ggs_migration_pre_check                           GGS搬品预检查，检查photobank容量，草稿箱容量
  ggs_product_ai_image_color_change                 对图片使用主体换色，通过输入原始图片URL、prompt, 色卡，发起一次AI图片创作请求
  ggs_product_ai_image_generate                     发起AI图片创作，通过输入原始图片URL,prompt,不同AI能力对应的AbilityCode,发起一次AI图片创作请求
  ggs_product_ai_image_generate_result              根据图片创作请求唯一key(requestKey),查询AI图片创作的结果
  icbu_ads_account_diagnosis                        对广告账户做整体诊断，返回账户概览、账户级诊断结论和问题计划列表。
  icbu_ads_campaign_diagnosis                       ICBU广告计划诊断
  icbu_ads_report_execute_sql                       ICBU广告执行SQL查询
  icbu_ads_report_load_datasource                   ICBU广告加载报告数据源
  icbu_distribution_amazon_upc_asin_relation        存储upc和asin关系
  icbu_distribution_product_freight_cost_tool       分销商品物流价查询
  icbu_distribution_query_by_image                  根据图片查询分销品
  icbu_distribution_query_by_keyword                根据关键词查询分销品
  icbu_distribution_query_detail_by_ids             查询商品详情
  icbu_ds_mcp_tool_orderCreateForAmazon             ICBU分销MCP工具_Amazon渠道订单关联创建
  icbu_ds_mcp_tool_orderGet                         ICBU分销MCP工具_获取订单详情
  icbu_ds_mcp_tool_queryOrderLogistics              获取国际站订单对应的物流轨迹信息
  icbu_faq_knowledge_chunk                          从国际站知识库检索业务切片。适用场景包括：国际站后台配置、全球市场准入、跨境物流与结算等问题。通过此工具获取专业、结构化的知识内容，以支持回复的准确性和权威性。
  icbu_logistics_expression_product_detail_freight  ICBU国际站商品物流运费查询，基于商品id查询此商品运送到某一个国家的运费
  icbu_product_generate_by_material                 获取商品素材之后，利用这些素材进行发品
  icbu_seller_query_lg_solution                     商家输入包裹重量和目的国后可查询国际站物流线路（精选返回推荐最多3条线路）
  infer_category                                    基于商品的内容（如标题、属性、sku等信息）预测当前商品归属的类目。
  infer_prop                                        基于站外商品内容或者解析商品素材内容，将站外非标准的属性和sku信息映射到ICBU站内标准的属性和sku信息上
  list_products                                     根据商品ID、商品名称等查询商品信息
  list_products_by_id                               查询商品信息（根据商品ID）
  list_products_by_name                             查询商品信息（根据商品名称）
  list_risk_brand_name                              查询风控品牌词
  merge_material                                    将用户修改的商品内容与原始商品内容进行合并。
  page_query_migration_task_info_product_info       获取GGS搬品任务数据详情
  precheck_url_product_generate                     URL发品-预检
  product_ai_image_color_change                     对图片使用主体换色，通过输入原始图片URL、prompt, 色卡，发起一次AI图片创作请求
  product_ai_image_custom_logo                      AI创作Logo图，通过输入原始图片URL、logo图片URL、prompt,，发起一次Logo图片创作请求
  product_ai_image_generate                         发起AI图片创作，通过输入原始图片URL,prompt,不同AI能力对应的AbilityCode,发起一次AI图片创作请求
  product_ai_image_generate_result                  根据图片创作请求唯一key(requestKey),查询AI图片创作的结果
  product_ai_image_model_generate                   AI创作模特图，通过输入主体图片URL、模特图片URL、prompt,，发起一次模特图片创作请求
  product_ai_image_translate                        AI图片翻译，通过输入主体图片URL、目标语言，发起一次图片翻译创作请求
  product_ai_video_generate_result                  创意工坊视频结果查询
  product_generate_precheck                         素材包发品-商品发布预检(校验 i 豆是否充足、图片银行空间是否充足)
  product_generate_query_task_list                  发品任务查询-查询发品任务列表
  product_governance_ai_select                      从店铺候选商品中按自然语言筛选（用户需要筛选特定条件的商品（如"低转化的 3C 商品"、"质量分低于 5 分的商品"） - 用户通过商品 ID 圈品（如"帮我优
  product_scene_video_generate                      根据提供的商品图片生成一个商品的动态场景展示视频。输入为一张商品图片和商品视频描述prompt，输出动态展示商品的视频路径。当用户需要生成商品视频时使用。
  publish_ggs_migration_product                     发布或编辑GGS商品，根据请求参数携带的productId字段是否为空自动判断是发布还是编辑商品，分批限制：每批最多包含 5 个商品
  queryCustomerGoodsCateSummary                     查询客户店铺商品所属行业
  queryGoodsInfoByGoodsIdList                       基于商品id查询客户店铺商品详情
  queryTradeListMcp                                 根据用户请求查询交易合同列表
  query_ai_select_result                            查询圈品结果
  query_category                                    获取用户的经营类目
  query_contact                                     获取用户的联系人列表信息
  query_conversation_msg                            查询指定会话的消息列表，支持通过 limitTimeStamp 游标实现翻页，false表示从limitTimeStamp减小的方向查询，true表示从limi
  query_ggs_agent_detail                            查询GGS数字人配置状态；agentType风控：risk_ai；商品：product_ai；沟通：message_ai / marketing_ai
  query_ggs_all_effective_eu_agent                  查询GGS商家全量生效的欧盟负责人列表
  query_ggs_auto_follow_marketing_config            查询GGS自动跟进营销配置
  query_ggs_auto_quote_setting                      查询 GGS RFQ 自动报价设置
  query_ggs_batch_optimize_result                   用于轮询批量优化任务的结果
  query_ggs_contact_setting_info                    GGS查询自动接待配置项，包括主子账号配置与生效时间
  query_ggs_eu_agent_plan_info                      查询GGS欧盟代理人计划信息
  query_ggs_merchant_info                           查询GGS商家基础信息，例如商家类型、主营类目、公司名称、星等级等
  query_ggs_merchant_shipping_template              查询GGS商家物流模版信息
  query_ggs_metrics_detail                          查询GGS数字人优化指标详情
  query_ggs_migration_task_status                   查询GGS商品搬品任务状态
  query_ggs_open_time_config                        查询GGS自动接待开启时间配置
  query_ggs_risk_detected_stat                      查询GGS风险诊断检测数据
  query_ggs_risk_effect_stat                        GGS查询风控风险效果统计
  query_im_card_info                                该工具用于查询沟通卡片描述信息，传入参数需要将 useAgentDescription设置为true
  query_material_analysis_result                    查询客户素材解析的结果
  query_product_score                               ggs查询商品质量分，仅查询使用，如果优化需要先找skill。返回结果包含当前的分数以及分数扣分的明细，详细定义请参考ggs-product-optimize 
  query_recent_conversation                         查询卖家最近的会话列表（分页拉取）。返回每个会话的基础信息（会话ID、类型、对方名称、未读数、更新时间）和最近一条消息的摘要。支持通过 limitTimeSta
  query_remaining_ipoint                            查询当前用户的剩余i豆权益数量
  query_seller_acct_dim_diag_data                   查询账号维度的诊断数据，包括沟通买家数、沟通深度、回复率、服务评价等指标。
  query_seller_chat_quality_check_detail            查询商家聊天质检明细数据，获取一周内的沟通质检详情，包括买家已读未回、超时回复、重复回复等质检项。
  query_seller_shop_dim_diag_data                   查询店铺维度的诊断数据，提供同行对比数据（行业平均、行业优秀），帮助商家了解在行业中的位置。
  query_store_diagnosis_daily_odps                  GGS商家诊断数据-日表查询
  query_supported_languages                         获取图片翻译功能支持的目标语言列表
  query_system_template                             AI生图系统模版，支持不同AI能力（对应AbilityCode）获取对应的系统模版
  query_user_category                               查询客户可以发布商品的类目信息
  save_or_update_ggs_auto_quote_setting             保存或更新GGS RFQ 自动报价设置
  searchKeywordList                                 用于查询阿里巴巴国际站售卖的品牌广告关键词，支持多种查询参数。
  searchNextMonthAuctionResource                    用于查询客户同行次月释放的可打标资源
  seller_logistics_oder_list                        阿里国际站商家物流订单查询工具
  send_msg                                          沟通场景根据双方id发送消息，需要指定domain
  service_report_weekly_all_data_query              查询商家服务周报详细完整数据
  set_ggs_auto_follow_marketing_config              设置GGS自动跟进营销配置
  set_ggs_open_time_config                          设置GGS自动接待开启时间配置（运营时间）
  shop_risk_diagnosis                               扫描店铺风险、检测商品风险
  start_ggs_product_migration                       创建GGS搬品任务进行数据拉取和商品信息解析
  start_url_product_generate                        URL发品-启动URL发品
  store_diagnose_brief                              结合店铺经营情况，为店铺做简单的经营数据分析及店铺诊断
  subaccount_query                                  根据主账号查询所有子账号信息
  submit_ggs_batch_optimize_detail                  分批次提交批量优化的商品，需要携带主任务id
  update_ggs_agent_detail_list                      更新GGS数字人配置，包括商品自动优化、沟通自动接待、自动RFQ报价以及风控AI检测
  web_search                                        使用web_search工具，获取query对应的网络信息

  237 tools available

